SECTION Comments
Name "D:\study\help\design\data\data9.csv"
Creator "graph_hash_of_mixed_weighted_save_for_GSTP"
END

lambda 1

input_graph |V|=112 |E|=336
input_graph Vertex 111 0.0000000000
input_graph Vertex 110 0.0000000000
input_graph Vertex 109 0.0000000000
input_graph Vertex 108 0.0000000000
input_graph Vertex 107 0.0000000000
input_graph Vertex 106 0.0000000000
input_graph Vertex 105 0.0000000000
input_graph Vertex 104 0.0000000000
input_graph Vertex 103 0.0000000000
input_graph Vertex 102 0.0000000000
input_graph Vertex 101 0.0000000000
input_graph Vertex 100 0.0000000000
input_graph Vertex 99 0.0000000000
input_graph Vertex 98 0.0000000000
input_graph Vertex 97 0.0000000000
input_graph Vertex 96 0.0000000000
input_graph Vertex 95 0.0000000000
input_graph Vertex 94 0.0000000000
input_graph Vertex 93 0.0000000000
input_graph Vertex 92 0.0000000000
input_graph Vertex 91 0.0000000000
input_graph Vertex 90 0.0000000000
input_graph Vertex 89 0.0000000000
input_graph Vertex 88 0.0000000000
input_graph Vertex 87 0.0000000000
input_graph Vertex 86 0.0000000000
input_graph Vertex 85 0.0000000000
input_graph Vertex 84 0.0000000000
input_graph Vertex 83 0.0000000000
input_graph Vertex 82 0.0000000000
input_graph Vertex 81 0.0000000000
input_graph Vertex 80 0.0000000000
input_graph Vertex 79 0.0000000000
input_graph Vertex 78 0.0000000000
input_graph Vertex 77 0.0000000000
input_graph Vertex 76 0.0000000000
input_graph Vertex 75 0.0000000000
input_graph Vertex 74 0.0000000000
input_graph Vertex 73 0.0000000000
input_graph Vertex 72 0.0000000000
input_graph Vertex 71 0.0000000000
input_graph Vertex 70 0.0000000000
input_graph Vertex 69 0.0000000000
input_graph Vertex 68 0.0000000000
input_graph Vertex 67 0.0000000000
input_graph Vertex 66 0.0000000000
input_graph Vertex 65 0.0000000000
input_graph Vertex 64 0.0000000000
input_graph Vertex 63 0.0000000000
input_graph Vertex 62 0.0000000000
input_graph Vertex 61 0.0000000000
input_graph Vertex 60 0.0000000000
input_graph Vertex 59 0.0000000000
input_graph Vertex 28 0.0000000000
input_graph Vertex 27 0.0000000000
input_graph Vertex 26 0.0000000000
input_graph Vertex 25 0.0000000000
input_graph Vertex 24 0.0000000000
input_graph Vertex 23 0.0000000000
input_graph Vertex 22 0.0000000000
input_graph Vertex 21 0.0000000000
input_graph Vertex 20 0.0000000000
input_graph Vertex 19 0.0000000000
input_graph Vertex 18 0.0000000000
input_graph Vertex 17 0.0000000000
input_graph Vertex 16 0.0000000000
input_graph Vertex 15 0.0000000000
input_graph Vertex 14 0.0000000000
input_graph Vertex 13 0.0000000000
input_graph Vertex 0 0.0000000000
input_graph Vertex 1 0.0000000000
input_graph Vertex 2 0.0000000000
input_graph Vertex 3 0.0000000000
input_graph Vertex 4 0.0000000000
input_graph Vertex 5 0.0000000000
input_graph Vertex 6 0.0000000000
input_graph Vertex 7 0.0000000000
input_graph Vertex 8 0.0000000000
input_graph Vertex 9 0.0000000000
input_graph Vertex 10 0.0000000000
input_graph Vertex 11 0.0000000000
input_graph Vertex 12 0.0000000000
input_graph Vertex 29 0.0000000000
input_graph Vertex 30 0.0000000000
input_graph Vertex 31 0.0000000000
input_graph Vertex 32 0.0000000000
input_graph Vertex 33 0.0000000000
input_graph Vertex 34 0.0000000000
input_graph Vertex 35 0.0000000000
input_graph Vertex 36 0.0000000000
input_graph Vertex 37 0.0000000000
input_graph Vertex 38 0.0000000000
input_graph Vertex 39 0.0000000000
input_graph Vertex 40 0.0000000000
input_graph Vertex 41 0.0000000000
input_graph Vertex 42 0.0000000000
input_graph Vertex 43 0.0000000000
input_graph Vertex 44 0.0000000000
input_graph Vertex 45 0.0000000000
input_graph Vertex 46 0.0000000000
input_graph Vertex 47 0.0000000000
input_graph Vertex 48 0.0000000000
input_graph Vertex 49 0.0000000000
input_graph Vertex 50 0.0000000000
input_graph Vertex 51 0.0000000000
input_graph Vertex 52 0.0000000000
input_graph Vertex 53 0.0000000000
input_graph Vertex 54 0.0000000000
input_graph Vertex 55 0.0000000000
input_graph Vertex 56 0.0000000000
input_graph Vertex 57 0.0000000000
input_graph Vertex 58 0.0000000000

input_graph Edge 106 108 3
input_graph Edge 106 111 1
input_graph Edge 105 107 1
input_graph Edge 103 110 3
input_graph Edge 103 111 1
input_graph Edge 102 111 4
input_graph Edge 100 104 3
input_graph Edge 98 100 3
input_graph Edge 98 106 4
input_graph Edge 92 94 2
input_graph Edge 92 111 2
input_graph Edge 90 92 4
input_graph Edge 90 107 1
input_graph Edge 90 111 2
input_graph Edge 89 99 3
input_graph Edge 89 105 3
input_graph Edge 88 101 1
input_graph Edge 86 88 2
input_graph Edge 86 93 4
input_graph Edge 85 103 4
input_graph Edge 84 95 3
input_graph Edge 83 111 2
input_graph Edge 82 86 4
input_graph Edge 82 96 2
input_graph Edge 82 102 4
input_graph Edge 81 108 4
input_graph Edge 80 86 3
input_graph Edge 79 88 3
input_graph Edge 79 104 4
input_graph Edge 78 84 2
input_graph Edge 78 89 4
input_graph Edge 78 108 4
input_graph Edge 77 89 4
input_graph Edge 76 81 2
input_graph Edge 76 86 1
input_graph Edge 75 77 4
input_graph Edge 75 96 1
input_graph Edge 75 111 3
input_graph Edge 74 94 2
input_graph Edge 74 95 3
input_graph Edge 73 77 2
input_graph Edge 73 105 4
input_graph Edge 72 83 4
input_graph Edge 71 74 4
input_graph Edge 71 88 1
input_graph Edge 69 75 3
input_graph Edge 69 90 2
input_graph Edge 68 87 3
input_graph Edge 67 71 3
input_graph Edge 67 85 2
input_graph Edge 65 85 4
input_graph Edge 65 94 1
input_graph Edge 65 96 4
input_graph Edge 65 102 3
input_graph Edge 64 75 1
input_graph Edge 63 69 2
input_graph Edge 63 84 1
input_graph Edge 63 86 3
input_graph Edge 63 90 4
input_graph Edge 63 91 1
input_graph Edge 63 92 4
input_graph Edge 63 104 3
input_graph Edge 63 105 4
input_graph Edge 63 110 2
input_graph Edge 62 98 2
input_graph Edge 62 106 3
input_graph Edge 61 62 2
input_graph Edge 61 65 1
input_graph Edge 60 84 2
input_graph Edge 60 96 2
input_graph Edge 60 97 3
input_graph Edge 60 98 3
input_graph Edge 59 84 4
input_graph Edge 59 105 3
input_graph Edge 59 107 2
input_graph Edge 59 109 2
input_graph Edge 28 45 1
input_graph Edge 28 85 4
input_graph Edge 27 39 4
input_graph Edge 27 48 3
input_graph Edge 27 90 3
input_graph Edge 27 103 2
input_graph Edge 27 105 1
input_graph Edge 27 111 2
input_graph Edge 26 28 3
input_graph Edge 26 36 3
input_graph Edge 26 39 2
input_graph Edge 26 46 3
input_graph Edge 26 90 3
input_graph Edge 25 29 3
input_graph Edge 25 40 3
input_graph Edge 25 81 4
input_graph Edge 25 93 2
input_graph Edge 24 50 1
input_graph Edge 24 60 4
input_graph Edge 24 74 1
input_graph Edge 24 90 2
input_graph Edge 24 103 4
input_graph Edge 23 33 2
input_graph Edge 23 55 3
input_graph Edge 23 67 3
input_graph Edge 22 51 3
input_graph Edge 22 52 3
input_graph Edge 22 63 3
input_graph Edge 22 72 4
input_graph Edge 22 89 1
input_graph Edge 22 93 1
input_graph Edge 22 107 1
input_graph Edge 21 26 2
input_graph Edge 21 107 2
input_graph Edge 20 23 2
input_graph Edge 20 40 1
input_graph Edge 20 63 4
input_graph Edge 20 87 4
input_graph Edge 20 100 3
input_graph Edge 19 34 1
input_graph Edge 19 35 2
input_graph Edge 19 42 4
input_graph Edge 19 62 1
input_graph Edge 19 93 4
input_graph Edge 19 98 2
input_graph Edge 18 19 4
input_graph Edge 18 31 4
input_graph Edge 18 64 2
input_graph Edge 18 87 2
input_graph Edge 17 21 1
input_graph Edge 17 78 3
input_graph Edge 17 110 2
input_graph Edge 16 19 1
input_graph Edge 16 26 1
input_graph Edge 16 44 2
input_graph Edge 15 16 3
input_graph Edge 15 18 4
input_graph Edge 15 43 1
input_graph Edge 15 50 1
input_graph Edge 14 27 4
input_graph Edge 14 36 4
input_graph Edge 14 50 2
input_graph Edge 14 54 4
input_graph Edge 14 58 3
input_graph Edge 14 62 2
input_graph Edge 14 100 2
input_graph Edge 14 110 3
input_graph Edge 13 37 1
input_graph Edge 13 40 2
input_graph Edge 13 41 3
input_graph Edge 13 49 2
input_graph Edge 13 95 3
input_graph Edge 13 99 3
input_graph Edge 13 104 1
input_graph Edge 0 1 4
input_graph Edge 0 2 4
input_graph Edge 0 5 3
input_graph Edge 0 6 3
input_graph Edge 0 7 1
input_graph Edge 0 15 3
input_graph Edge 0 32 3
input_graph Edge 0 43 1
input_graph Edge 0 61 1
input_graph Edge 0 102 1
input_graph Edge 1 42 4
input_graph Edge 1 51 2
input_graph Edge 1 82 3
input_graph Edge 1 106 4
input_graph Edge 2 3 2
input_graph Edge 2 24 3
input_graph Edge 2 29 1
input_graph Edge 2 36 1
input_graph Edge 2 40 4
input_graph Edge 3 4 2
input_graph Edge 3 8 3
input_graph Edge 3 14 4
input_graph Edge 3 32 4
input_graph Edge 3 107 2
input_graph Edge 4 13 4
input_graph Edge 4 16 1
input_graph Edge 4 28 3
input_graph Edge 4 44 1
input_graph Edge 4 56 1
input_graph Edge 4 57 3
input_graph Edge 5 17 3
input_graph Edge 5 30 1
input_graph Edge 5 47 4
input_graph Edge 5 78 4
input_graph Edge 5 90 3
input_graph Edge 5 99 4
input_graph Edge 5 109 1
input_graph Edge 6 47 2
input_graph Edge 6 81 4
input_graph Edge 6 82 4
input_graph Edge 6 84 4
input_graph Edge 6 93 4
input_graph Edge 7 9 3
input_graph Edge 7 27 3
input_graph Edge 7 60 4
input_graph Edge 7 70 3
input_graph Edge 7 75 3
input_graph Edge 7 108 1
input_graph Edge 8 17 2
input_graph Edge 8 22 3
input_graph Edge 8 27 1
input_graph Edge 8 43 4
input_graph Edge 8 47 4
input_graph Edge 8 60 1
input_graph Edge 8 88 1
input_graph Edge 8 102 4
input_graph Edge 8 108 2
input_graph Edge 9 10 4
input_graph Edge 9 11 1
input_graph Edge 9 30 3
input_graph Edge 9 36 2
input_graph Edge 9 50 3
input_graph Edge 9 83 2
input_graph Edge 9 86 1
input_graph Edge 10 20 3
input_graph Edge 10 21 1
input_graph Edge 10 28 1
input_graph Edge 10 39 1
input_graph Edge 10 62 1
input_graph Edge 11 12 3
input_graph Edge 11 24 3
input_graph Edge 11 67 4
input_graph Edge 12 25 3
input_graph Edge 12 34 2
input_graph Edge 12 49 3
input_graph Edge 12 53 2
input_graph Edge 12 71 1
input_graph Edge 29 43 2
input_graph Edge 29 45 3
input_graph Edge 29 72 3
input_graph Edge 29 76 2
input_graph Edge 29 77 1
input_graph Edge 29 88 2
input_graph Edge 29 97 2
input_graph Edge 29 102 3
input_graph Edge 30 35 1
input_graph Edge 30 52 3
input_graph Edge 30 60 3
input_graph Edge 30 80 2
input_graph Edge 30 90 4
input_graph Edge 30 95 3
input_graph Edge 31 39 2
input_graph Edge 31 51 3
input_graph Edge 31 75 3
input_graph Edge 31 86 1
input_graph Edge 32 55 2
input_graph Edge 32 59 4
input_graph Edge 32 85 3
input_graph Edge 32 87 2
input_graph Edge 33 56 3
input_graph Edge 33 70 3
input_graph Edge 33 80 2
input_graph Edge 34 59 3
input_graph Edge 34 102 4
input_graph Edge 34 104 3
input_graph Edge 35 41 4
input_graph Edge 35 49 4
input_graph Edge 35 59 3
input_graph Edge 35 99 2
input_graph Edge 36 38 1
input_graph Edge 36 42 3
input_graph Edge 36 44 3
input_graph Edge 36 77 1
input_graph Edge 36 81 3
input_graph Edge 36 87 1
input_graph Edge 37 38 1
input_graph Edge 37 66 2
input_graph Edge 37 75 1
input_graph Edge 37 79 2
input_graph Edge 38 73 3
input_graph Edge 38 96 3
input_graph Edge 38 109 3
input_graph Edge 39 65 1
input_graph Edge 39 68 1
input_graph Edge 39 73 4
input_graph Edge 39 76 1
input_graph Edge 39 77 1
input_graph Edge 39 106 2
input_graph Edge 40 78 4
input_graph Edge 40 92 2
input_graph Edge 40 104 4
input_graph Edge 41 54 3
input_graph Edge 41 74 1
input_graph Edge 41 93 2
input_graph Edge 42 60 3
input_graph Edge 42 63 1
input_graph Edge 42 64 3
input_graph Edge 42 68 1
input_graph Edge 42 83 3
input_graph Edge 43 48 1
input_graph Edge 43 102 3
input_graph Edge 43 108 2
input_graph Edge 44 49 3
input_graph Edge 44 53 3
input_graph Edge 44 64 4
input_graph Edge 45 60 3
input_graph Edge 45 64 1
input_graph Edge 46 82 2
input_graph Edge 46 97 4
input_graph Edge 46 98 2
input_graph Edge 47 51 1
input_graph Edge 47 55 2
input_graph Edge 48 54 1
input_graph Edge 49 51 1
input_graph Edge 49 59 4
input_graph Edge 49 94 1
input_graph Edge 50 66 3
input_graph Edge 50 77 1
input_graph Edge 50 78 2
input_graph Edge 50 93 1
input_graph Edge 51 82 4
input_graph Edge 51 95 1
input_graph Edge 51 102 3
input_graph Edge 52 81 2
input_graph Edge 52 101 3
input_graph Edge 53 54 1
input_graph Edge 53 104 4
input_graph Edge 54 60 4
input_graph Edge 54 89 2
input_graph Edge 54 99 4
input_graph Edge 55 56 4
input_graph Edge 55 57 2
input_graph Edge 55 74 2
input_graph Edge 55 75 2
input_graph Edge 55 85 4
input_graph Edge 55 100 1
input_graph Edge 56 59 3
input_graph Edge 56 82 4
input_graph Edge 56 87 1
input_graph Edge 56 99 4
input_graph Edge 56 111 4
input_graph Edge 57 67 1
input_graph Edge 58 82 3
input_graph Edge 58 84 3
input_graph Edge 58 100 4
input_graph Edge 58 110 3

group_graph |V|=117 |E|=8
group_graph Vertex 116 0.0000000000
group_graph Vertex 115 0.0000000000
group_graph Vertex 114 0.0000000000
